	feature	importance	normalized_importance	cumulative_importance
0	NM_012319	0.015088291237611524	0.015088291237611524	0.015088291237611524
1	Contig58301_RC	0.011781544584377695	0.011781544584377695	0.02686983582198922
2	AL137566	0.010460162665825142	0.010460162665825142	0.03732999848781436
3	Contig35629_RC	0.010397468397412441	0.010397468397412441	0.047727466885226805
4	grade	0.010172954832209655	0.010172954832209655	0.05790042171743646
5	AL117418	0.00946904870901654	0.00946904870901654	0.067369470426453
6	NM_003430	0.008976282270792642	0.008976282270792642	0.07634575269724564
7	AB040926	0.008649976012124536	0.008649976012124536	0.08499572870937018
8	NM_000633	0.008155760002784734	0.008155760002784734	0.09315148871215491
9	Contig56678_RC	0.0076993841237951695	0.0076993841237951695	0.10085087283595008
10	Contig38901_RC	0.007678147507365518	0.007678147507365518	0.1085290203433156
11	Contig55725_RC	0.007525337386743299	0.007525337386743299	0.1160543577300589
12	NM_001609	0.006976149217227109	0.006976149217227109	0.12303050694728601
13	AL049265	0.006464569979440247	0.006464569979440247	0.12949507692672627
14	Contig46452_RC	0.005702932605442402	0.005702932605442402	0.13519800953216868
15	Contig37562_RC	0.005579542465676371	0.005579542465676371	0.14077755199784506
16	NM_001168	0.0054155822829548405	0.0054155822829548405	0.14619313428079989
17	NM_002614	0.0053168174474208215	0.0053168174474208215	0.1515099517282207
18	NM_004143	0.005204648498297425	0.005204648498297425	0.15671460022651815
19	NM_004701	0.005039989353833967	0.005039989353833967	0.1617545895803521
20	Contig55883_RC	0.005027859919278351	0.005027859919278351	0.16678244949963045
21	NM_005733	0.005013988612276224	0.005013988612276224	0.17179643811190667
22	NM_003258	0.004936703858703463	0.004936703858703463	0.17673314197061013
23	NM_000926	0.004853194792123832	0.004853194792123832	0.18158633676273397
24	Contig46934_RC	0.004795758766055767	0.004795758766055767	0.18638209552878973
25	NM_006096	0.0046207637365811875	0.0046207637365811875	0.19100285926537092
26	Contig51117_RC	0.00457713081525205	0.00457713081525205	0.19557999008062296
27	Contig66705_RC	0.004572039578100425	0.004572039578100425	0.2001520296587234
28	esr1	0.004499731458474421	0.004499731458474421	0.20465176111719782
29	Contig50719_RC	0.00449098447152061	0.00449098447152061	0.20914274558871843
30	Contig54968_RC	0.004475378150074494	0.004475378150074494	0.2136181237387929
31	NM_020974	0.004346921656674498	0.004346921656674498	0.2179650453954674
32	NM_003376	0.004337615459496174	0.004337615459496174	0.22230266085496359
33	NM_016359	0.0043141214618723145	0.0043141214618723145	0.2266167823168359
34	NM_004835	0.004295268863225573	0.004295268863225573	0.23091205118006147
35	NM_000125	0.004210663707044955	0.004210663707044955	0.23512271488710643
36	NM_004780	0.004189670102230488	0.004189670102230488	0.2393123849893369
37	Contig48913_RC	0.0040637857630627374	0.0040637857630627374	0.24337617075239965
38	Contig45397_RC	0.0037570848793901926	0.0037570848793901926	0.24713325563178984
39	Contig16756_RC	0.0036445930125814634	0.0036445930125814634	0.2507778486443713
40	NM_016109	0.003500200243241609	0.003500200243241609	0.2542780488876129
41	AJ224741	0.003488598559994451	0.003488598559994451	0.25776664744760736
42	NM_002985	0.0034555753973530222	0.0034555753973530222	0.2612222228449604
43	NM_014214	0.0032833889709183582	0.0032833889709183582	0.2645056118158787
44	NM_018410	0.0032603634466595163	0.0032603634466595163	0.26776597526253826
45	NM_006113	0.0032359549205031326	0.0032359549205031326	0.2710019301830414
46	NM_014585	0.003229615915054701	0.003229615915054701	0.27423154609809614
47	NM_005375	0.0031853548398703023	0.0031853548398703023	0.27741690093796645
48	Contig56390_RC	0.003132250654429428	0.003132250654429428	0.28054915159239585
49	AL050227	0.003090003544101555	0.003090003544101555	0.2836391551364974
50	NM_007019	0.0030727533397595258	0.0030727533397595258	0.28671190847625694
51	AL133619	0.0030385498123615944	0.0030385498123615944	0.2897504582886185
52	NM_002986	0.0029643163301724946	0.0029643163301724946	0.292714774618791
53	NM_003058	0.0029187888217070764	0.0029187888217070764	0.29563356344049807
54	Contig35896_RC	0.0028704951726568383	0.0028704951726568383	0.29850405861315493
55	Contig30260_RC	0.0028333844121148553	0.0028333844121148553	0.30133744302526977
56	Contig51369_RC	0.002828349093305141	0.002828349093305141	0.3041657921185749
57	Contig9681_RC	0.00281317174429472	0.00281317174429472	0.30697896386286966
58	NM_002395	0.002810761882010924	0.002810761882010924	0.30978972574488056
59	AL117452	0.0027507710289795574	0.0027507710289795574	0.31254049677386014
60	NM_005544	0.002744526898024546	0.002744526898024546	0.3152850236718847
