	feature	importance	normalized_importance	cumulative_importance
0	AL117638	0.00966273279521016	0.00966273279521016	0.00966273279521016
1	Contig48156_RC	0.007328388778231653	0.007328388778231653	0.016991121573441813
2	NM_016359	0.006215776652572615	0.006215776652572615	0.023206898226014426
3	NM_000624	0.005192282461362541	0.005192282461362541	0.028399180687376967
4	J02639	0.004780702635735103	0.004780702635735103	0.03317988332311207
5	NM_016260	0.004717528774142744	0.004717528774142744	0.037897412097254814
6	NM_006006	0.0046940640201570665	0.0046940640201570665	0.04259147611741188
7	Contig31864_RC	0.004693585564091461	0.004693585564091461	0.04728506168150334
8	AF000990	0.004673395309622642	0.004673395309622642	0.05195845699112599
9	AJ223353	0.004549664303928683	0.004549664303928683	0.05650812129505467
10	NM_006868	0.004439600911542161	0.004439600911542161	0.06094772220659683
11	NM_006727	0.004406704966483791	0.004406704966483791	0.06535442717308063
12	AJ225093	0.00423797727631147	0.00423797727631147	0.06959240444939209
13	Contig55181_RC	0.004065910389356809	0.004065910389356809	0.07365831483874889
14	M63438	0.0039327173024336585	0.0039327173024336585	0.07759103214118256
15	Contig33811_RC	0.003912908976576584	0.003912908976576584	0.08150394111775915
16	Contig64688	0.003804791908015783	0.003804791908015783	0.08530873302577494
17	NM_002358	0.0037953819025025475	0.0037953819025025475	0.08910411492827748
18	Contig44652_RC	0.0037573861009782376	0.0037573861009782376	0.09286150102925572
19	NM_014585	0.0034835616006968365	0.0034835616006968365	0.09634506262995256
20	X57809	0.0031319715045079917	0.0031319715045079917	0.09947703413446055
21	NM_001870	0.0031207872429744724	0.0031207872429744724	0.10259782137743502
22	AF103458	0.003080615521750557	0.003080615521750557	0.10567843689918557
23	Contig28179_RC	0.003060618096731494	0.003060618096731494	0.10873905499591707
24	NM_003104	0.003055650660592728	0.003055650660592728	0.1117947056565098
25	NM_001306	0.0030491843354323194	0.0030491843354323194	0.11484388999194212
26	Contig51202_RC	0.003046682558604665	0.003046682558604665	0.11789057255054679
27	Contig48328_RC	0.0029387990452406313	0.0029387990452406313	0.12082937159578742
28	NM_005342	0.002932712450349035	0.002932712450349035	0.12376208404613646
29	NM_000582	0.002857715410492717	0.002857715410492717	0.12661979945662918
30	NM_002888	0.00280605402189549	0.00280605402189549	0.12942585347852467
31	AK000060	0.002790074362307154	0.002790074362307154	0.13221592784083183
32	NM_001540	0.0027758167829317584	0.0027758167829317584	0.1349917446237636
33	AL110202	0.0027634297526962287	0.0027634297526962287	0.13775517437645982
34	NM_005196	0.0027090524002517076	0.0027090524002517076	0.14046422677671153
35	AL353944	0.002613973219675536	0.002613973219675536	0.14307819999638707
36	Contig23502_RC	0.002595386329374894	0.002595386329374894	0.14567358632576197
37	Contig21847_RC	0.002588694395585632	0.002588694395585632	0.1482622807213476
38	Contig4380_RC	0.0025164927941348733	0.0025164927941348733	0.15077877351548247
39	NM_014696	0.002463984591497331	0.002463984591497331	0.1532427581069798
40	M90657	0.002448373158286998	0.002448373158286998	0.1556911312652668
41	NM_005733	0.002440552739420141	0.002440552739420141	0.15813168400468694
42	Contig37873	0.002404049440154993	0.002404049440154993	0.16053573344484193
43	Contig54536	0.0023848937915111677	0.0023848937915111677	0.1629206272363531
44	J05175	0.0023757284190687126	0.0023757284190687126	0.1652963556554218
45	Contig55997_RC	0.002270922878652906	0.002270922878652906	0.16756727853407472
46	AK002005	0.002249176828093207	0.002249176828093207	0.1698164553621679
47	Contig28888_RC	0.0022291925975006354	0.0022291925975006354	0.17204564795966854
48	NM_001674	0.002217811491972478	0.002217811491972478	0.174263459451641
49	NM_002274	0.002215779109790679	0.002215779109790679	0.1764792385614317
50	Contig22716_RC	0.00220610042845851	0.00220610042845851	0.1786853389898902
51	Contig20953_RC	0.0021520473647228177	0.0021520473647228177	0.18083738635461302
52	NM_006705	0.0020871599031039006	0.0020871599031039006	0.18292454625771692
53	NM_001333	0.0020701505341278884	0.0020701505341278884	0.18499469679184483
54	NM_003258	0.002036291113253587	0.002036291113253587	0.18703098790509842
55	NM_004702	0.0020259698748988537	0.0020259698748988537	0.1890569577799973
56	Contig3313	0.002019189719653139	0.002019189719653139	0.19107614749965043
57	NM_003862	0.002014035921269432	0.002014035921269432	0.19309018342091985
58	AF067420	0.0020020425327053146	0.0020020425327053146	0.19509222595362516
59	AL117553	0.001996788516565647	0.001996788516565647	0.1970890144701908
60	Contig45703_RC	0.0019895160618264756	0.0019895160618264756	0.1990785305320173
61	NM_001453	0.001982354945998715	0.001982354945998715	0.201060885478016
62	NM_020038	0.001980733306740376	0.001980733306740376	0.20304161878475638
63	Contig54993_RC	0.001978441545310648	0.001978441545310648	0.20502006033006703
64	Contig33376_RC	0.001963490392147193	0.001963490392147193	0.20698355072221422
65	X57819	0.0019351102143068206	0.0019351102143068206	0.20891866093652103
66	AL049932	0.0019236225710701446	0.0019236225710701446	0.21084228350759118
67	AK002088	0.0019163272604952387	0.0019163272604952387	0.21275861076808641
68	NM_014875	0.0018990429549668182	0.0018990429549668182	0.21465765372305323
69	Contig50822_RC	0.0018392540559904057	0.0018392540559904057	0.21649690777904365
70	Contig6051_RC	0.0018391894232324148	0.0018391894232324148	0.21833609720227606
71	NM_003652	0.0018028960586105828	0.0018028960586105828	0.22013899326088665
72	NM_003785	0.0017983684896028351	0.0017983684896028351	0.22193736175048948
73	NM_001647	0.0017934702188016503	0.0017934702188016503	0.22373083196929114
74	Contig31142_RC	0.0017716367566254295	0.0017716367566254295	0.22550246872591656
75	NM_001635	0.0017650536335161375	0.0017650536335161375	0.2272675223594327
76	NM_004345	0.0017616162211027515	0.0017616162211027515	0.22902913858053545
77	Contig32594_RC	0.0017543825562352064	0.0017543825562352064	0.23078352113677064
78	Contig28970_RC	0.001726758298102877	0.001726758298102877	0.2325102794348735
79	NM_014398	0.0017151017061865037	0.0017151017061865037	0.23422538114106
80	Contig27749_RC	0.0017140514221635897	0.0017140514221635897	0.23593943256322358
81	Contig31133_RC	0.0017040501397972575	0.0017040501397972575	0.23764348270302085
82	NM_005080	0.001681858676671688	0.001681858676671688	0.23932534137969255
83	NM_002196	0.001679190706714679	0.001679190706714679	0.24100453208640724
84	Contig26310_RC	0.0016640666144028433	0.0016640666144028433	0.2426685987008101
85	NM_002421	0.0016630357211169346	0.0016630357211169346	0.244331634421927
86	Contig51151_RC	0.0016008755134754877	0.0016008755134754877	0.2459325099354025
87	AL050202	0.0015756121022027897	0.0015756121022027897	0.24750812203760528
88	Contig36761_RC	0.0015679795261617354	0.0015679795261617354	0.249076101563767
89	Contig13866_RC	0.001565097783574869	0.001565097783574869	0.25064119934734186
90	AJ225092	0.0015617709351873912	0.0015617709351873912	0.25220297028252925
91	NM_003981	0.0015527873104392062	0.0015527873104392062	0.2537557575929685
92	NM_016817	0.001552265399259409	0.001552265399259409	0.2553080229922279
93	AF131770	0.0015359381206814997	0.0015359381206814997	0.25684396111290936
94	NM_004482	0.001527385046638113	0.001527385046638113	0.2583713461595475
95	Contig46204_RC	0.001504798897334876	0.001504798897334876	0.2598761450568824
96	Contig31771_RC	0.0014840439894425296	0.0014840439894425296	0.2613601890463249
97	AB037836	0.0014806902371081406	0.0014806902371081406	0.262840879283433
98	Contig39616_RC	0.0014795032020005793	0.0014795032020005793	0.2643203824854336
99	Contig34303_RC	0.0014756249592578238	0.0014756249592578238	0.26579600744469145
100	Contig57584_RC	0.0014716722738457083	0.0014716722738457083	0.26726767971853715
101	NM_007036	0.001461672486712197	0.001461672486712197	0.26872935220524935
102	NM_000129	0.001446666353189551	0.001446666353189551	0.2701760185584389
103	Contig66143_RC	0.0014389319902004829	0.0014389319902004829	0.27161495054863943
104	NM_014073	0.0014358925664933546	0.0014358925664933546	0.2730508431151328
105	NM_006235	0.0014064096320135352	0.0014064096320135352	0.27445725274714633
106	Contig33726_RC	0.0014025782962885352	0.0014025782962885352	0.27585983104343487
107	Contig19064_RC	0.0014000187872556886	0.0014000187872556886	0.2772598498306906
108	NM_005950	0.0013892572069645593	0.0013892572069645593	0.2786491070376551
109	NM_004405	0.0013692999666964658	0.0013692999666964658	0.2800184070043516
110	NM_018136	0.001364995812298945	0.001364995812298945	0.28138340281665053
111	NM_016569	0.0013616584792281966	0.0013616584792281966	0.28274506129587873
112	Contig8222_RC	0.0013546074630235018	0.0013546074630235018	0.28409966875890225
113	NM_001901	0.0013503873497578834	0.0013503873497578834	0.28545005610866014
114	Contig42349_RC	0.0013410999022843587	0.0013410999022843587	0.2867911560109445
115	Contig45389_RC	0.0013402773763777015	0.0013402773763777015	0.2881314333873222
116	NM_001362	0.0013318416600396478	0.0013318416600396478	0.28946327504736186
117	Contig43645_RC	0.0013153776185063208	0.0013153776185063208	0.29077865266586816
118	NM_005132	0.0013153400650718495	0.0013153400650718495	0.29209399273094
119	AB018305	0.0013116071087477066	0.0013116071087477066	0.2934055998396877
120	NM_006274	0.0013104601521893924	0.0013104601521893924	0.2947160599918771
121	NM_019598	0.0012936551094547073	0.0012936551094547073	0.29600971510133184
122	NM_000599	0.001284806023459453	0.001284806023459453	0.29729452112479127
123	NM_004456	0.0012827208484419825	0.0012827208484419825	0.29857724197323326
124	Contig37743_RC	0.0012760064552300306	0.0012760064552300306	0.2998532484284633
125	NM_016459	0.0012603255358500408	0.0012603255358500408	0.3011135739643133
126	NM_003378	0.0012573269608518172	0.0012573269608518172	0.3023709009251651
127	Contig23211_RC	0.001252959282631681	0.001252959282631681	0.3036238602077968
128	Contig24682_RC	0.0012497093490907343	0.0012497093490907343	0.30487356955688755
129	Contig39556_RC	0.0012494048866046562	0.0012494048866046562	0.3061229744434922
130	NM_004361	0.0012490525280568203	0.0012490525280568203	0.307372026971549
131	AL080199	0.001246416411829581	0.001246416411829581	0.30861844338337857
132	AJ223352	0.0012463581057104536	0.0012463581057104536	0.309864801489089
133	Contig56583_RC	0.0012390679644525894	0.0012390679644525894	0.3111038694535416
134	NM_019013	0.0012358932385800481	0.0012358932385800481	0.31233976269212166
135	M27749	0.001222194556759818	0.001222194556759818	0.3135619572488815
136	NM_002652	0.0012135244056372871	0.0012135244056372871	0.31477548165451874
137	NM_014681	0.0012080707262265653	0.0012080707262265653	0.3159835523807453
138	NM_006398	0.0011947886950160942	0.0011947886950160942	0.3171783410757614
139	NM_005067	0.001194532971922628	0.001194532971922628	0.31837287404768405
140	Contig42227	0.0011912320044219272	0.0011912320044219272	0.319564106052106
141	NM_005558	0.0011898784764025549	0.0011898784764025549	0.32075398452850856
142	Contig30569_RC	0.0011869203342430002	0.0011869203342430002	0.32194090486275156
143	AF222694	0.0011848497039458215	0.0011848497039458215	0.3231257545666974
144	Contig43983_RC	0.0011829134501056483	0.0011829134501056483	0.324308668016803
145	NM_001871	0.001182376204985504	0.001182376204985504	0.32549104422178854
146	NM_004887	0.0011822671221972663	0.0011822671221972663	0.3266733113439858
147	AL049423	0.0011792848796288878	0.0011792848796288878	0.3278525962236147
148	NM_000323	0.0011689044926659865	0.0011689044926659865	0.32902150071628067
149	NM_001717	0.001168321204230434	0.001168321204230434	0.3301898219205111
150	AW518944_RC	0.001167944790486693	0.001167944790486693	0.3313577667109978
151	AL137698	0.0011646344568205496	0.0011646344568205496	0.33252240116781834
152	AF116715	0.0011636147273498358	0.0011636147273498358	0.33368601589516816
153	Contig55725_RC	0.0011592704020617563	0.0011592704020617563	0.3348452862972299
154	U66702	0.0011576423156246637	0.0011576423156246637	0.3360029286128546
155	M30818	0.0011524840589311968	0.0011524840589311968	0.3371554126717858
156	Contig49874_RC	0.0011499757811756191	0.0011499757811756191	0.3383053884529614
157	NM_003512	0.0011460637654002307	0.0011460637654002307	0.3394514522183616
158	AF179224	0.0011313008379232395	0.0011313008379232395	0.3405827530562848
159	NM_003294	0.0011310921348885276	0.0011310921348885276	0.34171384519117337
160	Contig56307	0.001130706338388224	0.001130706338388224	0.3428445515295616
161	Contig5710_RC	0.0011290009321858112	0.0011290009321858112	0.34397355246174743
162	Contig38918_RC	0.001126528918571482	0.001126528918571482	0.3451000813803189
163	NM_004616	0.0011264346776010989	0.0011264346776010989	0.34622651605792
164	NM_001446	0.0011246491322576414	0.0011246491322576414	0.3473511651901776
165	NM_001276	0.0011246067515786526	0.0011246067515786526	0.3484757719417563
166	Contig32037_RC	0.0011218395104705258	0.0011218395104705258	0.3495976114522268
167	NM_013363	0.0011131577191585132	0.0011131577191585132	0.3507107691713853
168	Contig38500_RC	0.0011043344602621322	0.0011043344602621322	0.3518151036316474
169	NM_002854	0.0010968629353139965	0.0010968629353139965	0.3529119665669614
170	NM_006829	0.0010961732378760157	0.0010961732378760157	0.3540081398048374
171	NM_014897	0.0010934808374866037	0.0010934808374866037	0.35510162064232403
172	NM_004694	0.0010925479544373735	0.0010925479544373735	0.3561941685967614
173	Contig15313_RC	0.0010917550705579642	0.0010917550705579642	0.35728592366731937
174	Contig44191_RC	0.0010909216841674214	0.0010909216841674214	0.3583768453514868
175	Contig46362_RC	0.0010867565679826973	0.0010867565679826973	0.35946360191946947
176	NM_003392	0.0010856888524300784	0.0010856888524300784	0.36054929077189957
177	NM_002422	0.0010830323452954208	0.0010830323452954208	0.361632323117195
178	Contig16786_RC	0.001082413075164315	0.001082413075164315	0.36271473619235933
179	Contig39670_RC	0.001081839153838045	0.001081839153838045	0.36379657534619736
180	NM_007253	0.001081667144993028	0.001081667144993028	0.3648782424911904
181	NM_001336	0.0010643838707461342	0.0010643838707461342	0.36594262636193653
182	Contig24026_RC	0.0010632062217030083	0.0010632062217030083	0.36700583258363956
183	Contig42532_RC	0.0010517153615143646	0.0010517153615143646	0.36805754794515394
184	Contig53411_RC	0.0010516088378003244	0.0010516088378003244	0.36910915678295425
185	Contig37702_RC	0.0010488719851245922	0.0010488719851245922	0.37015802876807885
186	NM_004986	0.0010487672902678418	0.0010487672902678418	0.37120679605834667
187	Contig54325_RC	0.0010469010473762768	0.0010469010473762768	0.3722536971057229
188	NM_001275	0.001034434168895379	0.001034434168895379	0.3732881312746183
189	NM_016364	0.001032612631354071	0.001032612631354071	0.37432074390597236
190	NM_014373	0.0010255479034491828	0.0010255479034491828	0.37534629180942153
191	AB007936	0.0010244227833261328	0.0010244227833261328	0.3763707145927477
192	NM_000727	0.0010129982869186182	0.0010129982869186182	0.3773837128796663
193	Contig43998_RC	0.0010101395244609289	0.0010101395244609289	0.37839385240412726
194	NM_002509	0.0010034725995756518	0.0010034725995756518	0.37939732500370293
195	NM_000779	0.0010033395939264753	0.0010033395939264753	0.3804006645976294
196	NM_001823	0.0010003425221764113	0.0010003425221764113	0.3814010071198058
197	NM_004131	0.0009984794580763243	0.0009984794580763243	0.38239948657788214
198	Contig440	0.0009980950701082905	0.0009980950701082905	0.3833975816479904
199	AI497657_RC	0.0009971772493779522	0.0009971772493779522	0.3843947588973684
200	NM_001831	0.0009928747885969975	0.0009928747885969975	0.3853876336859654
201	Contig54295_RC	0.0009921889954433534	0.0009921889954433534	0.38637982268140875
202	Contig43806_RC	0.0009906537431587721	0.0009906537431587721	0.3873704764245675
203	NM_002989	0.0009878957685810796	0.0009878957685810796	0.3883583721931486
204	Contig29014_RC	0.0009872166025068254	0.0009872166025068254	0.38934558879565545
205	NM_002965	0.0009867937681547756	0.0009867937681547756	0.3903323825638102
206	Contig43195_RC	0.0009850331885722181	0.0009850331885722181	0.39131741575238244
207	NM_004867	0.0009826922841064613	0.0009826922841064613	0.3923001080364889
208	NM_005842	0.0009818489297524983	0.0009818489297524983	0.3932819569662414
209	NM_002193	0.0009791381679089505	0.0009791381679089505	0.39426109513415036
210	NM_001844	0.0009750570230185651	0.0009750570230185651	0.39523615215716895
211	Contig52947_RC	0.0009662272708824687	0.0009662272708824687	0.3962023794280514
212	Contig57138_RC	0.0009648291220871229	0.0009648291220871229	0.39716720855013854
213	NM_003108	0.0009641112061329221	0.0009641112061329221	0.3981313197562715
214	Contig38826_RC	0.000962226372052412	0.000962226372052412	0.3990935461283239
215	NM_003430	0.0009605824087507613	0.0009605824087507613	0.4000541285370746
216	NM_001999	0.0009554470802468505	0.0009554470802468505	0.4010095756173215
217	Contig23420_RC	0.0009548722855413116	0.0009548722855413116	0.4019644479028628
218	NM_005971	0.0009548483001461081	0.0009548483001461081	0.40291929620300887
219	NM_017414	0.0009533766103956399	0.0009533766103956399	0.4038726728134045
220	Contig13879_RC	0.000949801237184105	0.000949801237184105	0.4048224740505886
221	NM_001395	0.0009468284636657697	0.0009468284636657697	0.40576930251425436
222	NM_000900	0.000939381143738277	0.000939381143738277	0.4067086836579926
223	NM_005672	0.0009365185577817521	0.0009365185577817521	0.4076452022157744
224	Contig17248_RC	0.0009293382690582787	0.0009293382690582787	0.40857454048483266
225	AF052090	0.0009269683005812471	0.0009269683005812471	0.4095015087854139
226	NM_016002	0.0009232699770991329	0.0009232699770991329	0.41042477876251304
227	NM_004245	0.0009220256283349405	0.0009220256283349405	0.411346804390848
228	AL110181	0.000921193278419682	0.000921193278419682	0.41226799766926764
229	NM_004664	0.0009179124428097715	0.0009179124428097715	0.4131859101120774
230	NM_000090	0.0009159310155327526	0.0009159310155327526	0.41410184112761017
231	NM_001993	0.0009115988562911435	0.0009115988562911435	0.41501343998390133
232	NM_006551	0.0009076912327735277	0.0009076912327735277	0.41592113121667484
233	NM_016140	0.0009072482195194313	0.0009072482195194313	0.4168283794361943
234	NM_003641	0.000905461124786531	0.000905461124786531	0.4177338405609808
235	NM_000393	0.0009039478504103178	0.0009039478504103178	0.4186377884113911
236	U96394	0.0009034106313006861	0.0009034106313006861	0.41954119904269177
237	AL133644	0.0008977854789612268	0.0008977854789612268	0.420438984521653
238	NM_000353	0.0008961217673212381	0.0008961217673212381	0.42133510628897425
239	NM_018215	0.0008951693333921015	0.0008951693333921015	0.42223027562236637
240	Contig54729_RC	0.0008942186761693866	0.0008942186761693866	0.42312449429853577
241	NM_006142	0.000892296977578456	0.000892296977578456	0.42401679127611425
242	Contig10601_RC	0.0008823096430781317	0.0008823096430781317	0.42489910091919236
243	AJ224741	0.0008822234152804776	0.0008822234152804776	0.42578132433447285
244	AL049257	0.0008820887218809366	0.0008820887218809366	0.4266634130563538
245	AL133038	0.0008783985480899065	0.0008783985480899065	0.4275418116044437
246	NM_000903	0.0008779037353148804	0.0008779037353148804	0.4284197153397586
247	NM_013982	0.000877878267683774	0.000877878267683774	0.42929759360744235
248	NM_016577	0.0008750281640975132	0.0008750281640975132	0.43017262177153986
249	NM_006071	0.0008741435250785733	0.0008741435250785733	0.43104676529661845
250	NM_018265	0.0008740241343108906	0.0008740241343108906	0.4319207894309293
251	NM_013372	0.0008736251353532496	0.0008736251353532496	0.4327944145662826
252	NM_003489	0.0008721398165351703	0.0008721398165351703	0.43366655438281776
253	NM_004315	0.0008715552872063941	0.0008715552872063941	0.43453810967002415
254	AL109706	0.0008701603399201875	0.0008701603399201875	0.43540827000994436
255	Contig28030_RC	0.0008698521379457159	0.0008698521379457159	0.4362781221478901
256	NM_005564	0.0008684089493858716	0.0008684089493858716	0.43714653109727597
257	NM_000240	0.0008651330196288208	0.0008651330196288208	0.4380116641169048
258	NM_000507	0.000864375312930256	0.000864375312930256	0.43887603942983505
259	NM_001838	0.0008637255793582711	0.0008637255793582711	0.4397397650091933
260	Contig28028_RC	0.0008610270091815772	0.0008610270091815772	0.4406007920183749
261	NM_020990	0.0008604834035530859	0.0008604834035530859	0.441461275421928
262	NM_005213	0.000859801416530607	0.000859801416530607	0.44232107683845856
263	NM_003888	0.0008582129565163154	0.0008582129565163154	0.4431792897949749
264	NM_017731	0.0008565772402487903	0.0008565772402487903	0.4440358670352237
265	Contig40026_RC	0.0008557332127397037	0.0008557332127397037	0.44489160024796337
266	Contig27405_RC	0.000850299200770633	0.000850299200770633	0.445741899448734
267	AL110171	0.0008491164911125823	0.0008491164911125823	0.44659101593984657
